date,state,commodity,unit,price
2023-07-15,Borno,Rice (local),2.7 KG,1965.5936363636363
2023-07-15,Borno,Tomatoes,0.5 KG,167.32916666666668
2023-07-15,Borno,Yam,2.5 KG,1324.3246666666666
2023-07-15,Yobe,Beans (red),2.5 KG,1431.25
2023-07-15,Yobe,Oranges,400 G,160.0
2023-07-15,Yobe,Rice (local),2.7 KG,1910.0
2023-07-15,Yobe,Tomatoes,0.5 KG,125.0
2023-07-15,Yobe,Yam,2.5 KG,1666.6666666666667
2023-08-15,Adamawa,Beans (red),2.5 KG,1345.625
2023-08-15,Adamawa,Oranges,400 G,200.0
2023-08-15,Adamawa,Rice (local),2.7 KG,2226.875
2023-08-15,Adamawa,Tomatoes,0.5 KG,150.0
2023-08-15,Adamawa,Yam,2.5 KG,1792.5
2023-08-15,Borno,Beans (red),2.5 KG,1446.145
2023-08-15,Borno,Oranges,400 G,160.35916666666665
2023-08-15,Borno,Rice (local),2.7 KG,2239.8927272727274
2023-08-15,Borno,Tomatoes,0.5 KG,157.05375
2023-08-15,Borno,Yam,2.5 KG,1824.7963636363636
2023-08-15,Yobe,Beans (red),2.5 KG,1559.9266666666665
2023-08-15,Yobe,Oranges,400 G,137.035
2023-08-15,Yobe,Rice (local),2.7 KG,2104.6549999999997
2023-08-15,Yobe,Tomatoes,0.5 KG,143.51999999999998
2023-08-15,Yobe,Yam,2.5 KG,1535.0
2023-09-15,Adamawa,Beans (red),2.5 KG,1379.63
2023-09-15,Adamawa,Oranges,400 G,150.0
2023-09-15,Adamawa,Rice (local),2.7 KG,2228.7
2023-09-15,Adamawa,Tomatoes,0.5 KG,106.945
